report_id,inspection_date,segment_id,issue_type,severity,recommendation,repair_date,inspector_id,inspection_method
RPT-00023,2022-01-17,SEG_077,Vegetation Encroachment,Minor,Monitor,,INS-841,Hydrotest
RPT-00024,2022-01-17,SEG_006,No Issues,None,Routine Maintenance,,INS-158,ROW Patrol
RPT-00025,2022-01-24,SEG_068,Mechanical Damage,Critical,Immediate Shutdown,2022-02-16,INS-847,ILI
RPT-00026,2022-01-24,SEG_013,Coating Damage,Moderate,Repair ASAP,2022-02-13,INS-757,UT
RPT-00027,2022-01-24,SEG_037,No Issues,None,Routine Maintenance,,INS-690,Visual
RPT-00028,2022-01-24,SEG_001,Vegetation Encroachment,Minor,Clear Area,,INS-353,UT
RPT-00029,2022-01-24,SEG_019,Mechanical Damage,Moderate,Immediate Shutdown,,INS-673,Hydrotest
RPT-00030,2022-01-24,SEG_042,Vegetation Encroachment,Minor,Clear Area,,INS-807,ILI
RPT-00031,2022-01-24,SEG_015,Third-Party Interference,Moderate,Investigate,,INS-877,UT
RPT-00032,2022-01-24,SEG_050,No Issues,None,Routine Maintenance,,INS-315,ROW Patrol
RPT-00033,2022-01-31,SEG_039,Vegetation Encroachment,Minor,Clear Area,,INS-676,Visual
RPT-00034,2022-01-31,SEG_023,Corrosion,Minor,Monitor,,INS-787,Hydrotest
RPT-00035,2022-01-31,SEG_014,Vegetation Encroachment,Minor,Clear Area,,INS-432,Visual
RPT-00036,2022-01-31,SEG_007,Third-Party Interference,Moderate,Investigate,,INS-896,ILI
RPT-00037,2022-01-31,SEG_043,No Issues,None,Routine Maintenance,,INS-793,Visual
RPT-00038,2022-01-31,SEG_001,No Issues,None,Routine Maintenance,,INS-310,Visual
RPT-00039,2022-01-31,SEG_070,Coating Damage,Moderate,Repair ASAP,2022-02-27,INS-369,ILI
RPT-00040,2022-01-31,SEG_047,No Issues,None,Routine Maintenance,,INS-289,Visual
RPT-00041,2022-02-07,SEG_080,No Issues,None,Routine Maintenance,,INS-460,ROW Patrol
RPT-00042,2022-02-07,SEG_023,Third-Party Interference,Major,Repair ASAP,2022-02-25,INS-568,ILI
RPT-00043,2022-02-07,SEG_071,No Issues,None,Routine Maintenance,,INS-148,Visual
RPT-00044,2022-02-07,SEG_025,No Issues,None,Routine Maintenance,,INS-230,Visual
RPT-00045,2022-02-07,SEG_017,No Issues,None,Routine Maintenance,,INS-746,Visual
RPT-00046,2022-02-07,SEG_062,Corrosion,Critical,Monitor,2022-03-01,INS-762,ILI
RPT-00047,2022-02-07,SEG_004,Corrosion,Moderate,Monitor,,INS-920,Hydrotest
RPT-00048,2022-02-07,SEG_003,Mechanical Damage,Critical,Immediate Shutdown,2022-02-10,INS-229,Visual
RPT-00049,2022-02-14,SEG_029,Vegetation Encroachment,Minor,Clear Area,,INS-422,ROW Patrol
RPT-00050,2022-02-14,SEG_005,Coating Damage,Minor,Monitor,,INS-851,Hydrotest
RPT-00051,2022-02-14,SEG_049,Mechanical Damage,Major,Repair ASAP,2022-03-02,INS-108,Visual
RPT-00052,2022-02-14,SEG_057,Coating Damage,Minor,Repair ASAP,2022-02-26,INS-693,Visual
RPT-00053,2022-02-14,SEG_008,No Issues,None,Routine Maintenance,,INS-575,ROW Patrol
RPT-00054,2022-02-14,SEG_050,Third-Party Interference,Major,Repair ASAP,2022-03-16,INS-436,UT
RPT-00055,2022-02-14,SEG_007,Corrosion,Moderate,Monitor,,INS-323,Visual
RPT-00056,2022-02-14,SEG_023,Vegetation Encroachment,Minor,Clear Area,,INS-307,ILI
RPT-00057,2022-02-21,SEG_076,No Issues,None,Routine Maintenance,,INS-690,ROW Patrol
RPT-00058,2022-02-21,SEG_082,Corrosion,Critical,Immediate Shutdown,2022-03-04,INS-165,ILI
RPT-00059,2022-02-21,SEG_035,Corrosion,Minor,Repair ASAP,2022-03-11,INS-931,Hydrotest
RPT-00060,2022-02-21,SEG_068,Mechanical Damage,Moderate,Immediate Shutdown,,INS-600,ILI
RPT-00061,2022-02-21,SEG_023,Corrosion,Major,Immediate Shutdown,2022-02-27,INS-422,Hydrotest
RPT-00062,2022-02-21,SEG_069,Vegetation Encroachment,Minor,Monitor,,INS-614,ILI
RPT-00063,2022-02-21,SEG_043,No Issues,None,Routine Maintenance,,INS-951,ROW Patrol
RPT-00064,2022-02-21,SEG_003,Coating Damage,Moderate,Repair ASAP,2022-03-12,INS-369,ILI
RPT-00065,2022-02-26,SEG_048,Mechanical Damage,Moderate,Repair ASAP,2022-03-04,INS-340,Visual
RPT-00066,2022-02-28,SEG_036,Mechanical Damage,Major,Immediate Shutdown,2022-03-05,INS-111,Hydrotest
RPT-00067,2022-02-28,SEG_050,Corrosion,Major,Immediate Shutdown,2022-03-11,INS-245,UT
RPT-00068,2022-02-28,SEG_007,Mechanical Damage,Moderate,Immediate Shutdown,,INS-380,Hydrotest
RPT-00069,2022-02-28,SEG_010,Vegetation Encroachment,Minor,Clear Area,,INS-153,UT
RPT-00070,2022-02-28,SEG_016,Coating Damage,Moderate,Monitor,,INS-424,UT
RPT-00071,2022-02-28,SEG_073,Third-Party Interference,Major,Repair ASAP,2022-03-29,INS-813,Hydrotest
RPT-00072,2022-02-28,SEG_058,Corrosion,Major,Immediate Shutdown,2022-03-22,INS-312,ROW Patrol
RPT-00073,2022-02-28,SEG_064,Vegetation Encroachment,Minor,Monitor,,INS-414,ILI
RPT-00074,2022-03-07,SEG_002,Corrosion,Moderate,Immediate Shutdown,,INS-896,Hydrotest
RPT-00075,2022-03-07,SEG_056,Mechanical Damage,Critical,Immediate Shutdown,2022-04-03,INS-346,UT
RPT-00076,2022-03-07,SEG_028,No Issues,None,Routine Maintenance,,INS-387,ROW Patrol
RPT-00077,2022-03-07,SEG_079,Coating Damage,Minor,Monitor,,INS-716,ILI
RPT-00078,2022-03-07,SEG_023,Third-Party Interference,Major,Repair ASAP,2022-03-11,INS-445,ROW Patrol
RPT-00079,2022-03-07,SEG_038,Coating Damage,Minor,Repair ASAP,2022-03-13,INS-472,Hydrotest
RPT-00080,2022-03-07,SEG_034,Vegetation Encroachment,Minor,Monitor,,INS-447,Hydrotest
RPT-00081,2022-03-07,SEG_043,Corrosion,Minor,Repair ASAP,2022-03-26,INS-667,UT
RPT-00082,2022-03-14,SEG_058,Mechanical Damage,Major,Repair ASAP,2022-04-08,INS-836,Hydrotest
RPT-00083,2022-03-14,SEG_081,No Issues,None,Routine Maintenance,,INS-485,Visual
RPT-00084,2022-03-14,SEG_051,Vegetation Encroachment,Minor,Clear Area,,INS-240,UT
RPT-00085,2022-03-14,SEG_076,Corrosion,Major,Immediate Shutdown,2022-03-22,INS-201,ILI
RPT-00086,2022-03-14,SEG_082,Corrosion,Minor,Repair ASAP,2022-04-06,INS-412,UT
RPT-00087,2022-03-14,SEG_032,Third-Party Interference,Moderate,Investigate,,INS-883,ILI
RPT-00088,2022-03-14,SEG_073,Vegetation Encroachment,Minor,Monitor,,INS-802,ROW Patrol
RPT-00089,2022-03-14,SEG_007,Coating Damage,Moderate,Monitor,,INS-637,UT
RPT-00090,2022-03-21,SEG_069,Mechanical Damage,Moderate,Immediate Shutdown,,INS-483,ILI
RPT-00091,2022-03-21,SEG_035,Mechanical Damage,Moderate,Repair ASAP,2022-04-02,INS-522,Visual
RPT-00092,2022-03-21,SEG_057,Mechanical Damage,Major,Immediate Shutdown,2022-04-06,INS-328,ILI
RPT-00093,2022-03-21,SEG_029,Vegetation Encroachment,Minor,Monitor,,INS-292,Hydrotest
RPT-00094,2022-03-21,SEG_022,No Issues,None,Routine Maintenance,,INS-154,Visual
RPT-00095,2022-03-21,SEG_034,Coating Damage,Moderate,Monitor,,INS-476,ILI
RPT-00096,2022-03-21,SEG_063,No Issues,None,Routine Maintenance,,INS-159,ROW Patrol
RPT-00097,2022-03-21,SEG_006,Coating Damage,Minor,Monitor,,INS-464,Hydrotest
RPT-00098,2022-03-28,SEG_051,Mechanical Damage,Moderate,Repair ASAP,2022-04-15,INS-504,Visual
RPT-00099,2022-03-28,SEG_019,Vegetation Encroachment,Minor,Clear Area,,INS-683,Visual
RPT-00100,2022-03-28,SEG_040,No Issues,None,Routine Maintenance,,INS-184,Visual
RPT-00101,2022-03-28,SEG_009,No Issues,None,Routine Maintenance,,INS-954,ILI
RPT-00102,2022-03-28,SEG_063,Vegetation Encroachment,Minor,Monitor,,INS-371,UT
RPT-00103,2022-03-28,SEG_085,Third-Party Interference,Major,Investigate,2022-04-01,INS-847,ILI
RPT-00104,2022-03-28,SEG_007,Vegetation Encroachment,Minor,Monitor,,INS-237,Hydrotest
RPT-00105,2022-03-28,SEG_012,Coating Damage,Moderate,Repair ASAP,2022-04-12,INS-998,Visual
RPT-00106,2022-04-04,SEG_054,Coating Damage,Minor,Monitor,,INS-231,ILI
RPT-00107,2022-04-04,SEG_018,Vegetation Encroachment,Minor,Clear Area,,INS-672,Visual
RPT-00108,2022-04-04,SEG_048,Third-Party Interference,Major,Repair ASAP,2022-04-18,INS-898,Hydrotest
RPT-00109,2022-04-04,SEG_040,Coating Damage,Moderate,Repair ASAP,2022-04-21,INS-607,ILI
RPT-00110,2022-04-04,SEG_006,Third-Party Interference,Major,Repair ASAP,2022-04-09,INS-281,UT
RPT-00111,2022-04-04,SEG_084,No Issues,None,Routine Maintenance,,INS-608,ILI
RPT-00112,2022-04-04,SEG_041,Corrosion,Critical,Repair ASAP,2022-05-01,INS-509,ROW Patrol
RPT-00113,2022-04-04,SEG_075,Mechanical Damage,Moderate,Repair ASAP,2022-04-20,INS-469,Hydrotest
RPT-00114,2022-04-11,SEG_040,Coating Damage,Minor,Repair ASAP,2022-04-24,INS-525,ILI
RPT-00115,2022-04-11,SEG_052,No Issues,None,Routine Maintenance,,INS-124,ILI
RPT-00116,2022-04-11,SEG_072,No Issues,None,Routine Maintenance,,INS-780,ROW Patrol
RPT-00117,2022-04-11,SEG_083,Vegetation Encroachment,Minor,Clear Area,,INS-904,Hydrotest
RPT-00118,2022-04-11,SEG_017,Third-Party Interference,Major,Investigate,2022-04-30,INS-219,Visual
RPT-00119,2022-04-11,SEG_030,No Issues,None,Routine Maintenance,,INS-610,ILI
RPT-00120,2022-04-11,SEG_048,No Issues,None,Routine Maintenance,,INS-300,ROW Patrol
RPT-00121,2022-04-11,SEG_031,Vegetation Encroachment,Minor,Monitor,,INS-872,Hydrotest
RPT-00122,2022-04-18,SEG_043,No Issues,None,Routine Maintenance,,INS-455,Visual
RPT-00123,2022-04-18,SEG_072,No Issues,None,Routine Maintenance,,INS-925,ROW Patrol
RPT-00124,2022-04-18,SEG_008,Corrosion,Minor,Monitor,,INS-803,UT
RPT-00125,2022-04-18,SEG_058,Third-Party Interference,Major,Repair ASAP,2022-04-30,INS-389,ROW Patrol
RPT-00126,2022-04-18,SEG_005,No Issues,None,Routine Maintenance,,INS-432,Visual
RPT-00127,2022-04-18,SEG_044,Third-Party Interference,Major,Repair ASAP,2022-05-13,INS-712,ILI
RPT-00128,2022-04-18,SEG_033,Corrosion,Moderate,Repair ASAP,2022-05-18,INS-400,Hydrotest
RPT-00129,2022-04-18,SEG_050,No Issues,None,Routine Maintenance,,INS-345,Visual
RPT-00130,2022-04-25,SEG_020,Corrosion,Moderate,Repair ASAP,2022-05-18,INS-618,ILI
RPT-00131,2022-04-25,SEG_082,No Issues,None,Routine Maintenance,,INS-512,Visual
RPT-00132,2022-04-25,SEG_064,No Issues,None,Routine Maintenance,,INS-295,Visual
RPT-00133,2022-04-25,SEG_055,Corrosion,Moderate,Monitor,,INS-417,UT
RPT-00134,2022-04-25,SEG_074,Third-Party Interference,Moderate,Investigate,,INS-605,ILI
RPT-00135,2022-04-25,SEG_019,Third-Party Interference,Moderate,Investigate,,INS-807,Hydrotest
RPT-00136,2022-04-25,SEG_028,Vegetation Encroachment,Minor,Clear Area,,INS-566,ILI
RPT-00137,2022-04-25,SEG_065,Mechanical Damage,Major,Immediate Shutdown,2022-05-05,INS-388,UT
RPT-00138,2022-05-02,SEG_051,Coating Damage,Moderate,Monitor,,INS-322,ILI
RPT-00139,2022-05-02,SEG_049,No Issues,None,Routine Maintenance,,INS-638,Visual
RPT-00140,2022-05-02,SEG_060,Coating Damage,Minor,Monitor,,INS-575,UT
RPT-00141,2022-05-02,SEG_072,Coating Damage,Minor,Repair ASAP,2022-05-27,INS-166,ILI
RPT-00142,2022-05-02,SEG_044,Corrosion,Minor,Repair ASAP,2022-05-26,INS-617,Visual
RPT-00143,2022-05-02,SEG_084,Third-Party Interference,Moderate,Repair ASAP,2022-05-12,INS-969,ILI
RPT-00144,2022-05-02,SEG_062,Coating Damage,Moderate,Monitor,,INS-460,Hydrotest
RPT-00145,2022-05-02,SEG_057,Third-Party Interference,Moderate,Repair ASAP,2022-05-18,INS-816,UT
RPT-00146,2022-05-09,SEG_044,Corrosion,Major,Monitor,2022-05-31,INS-353,ILI
RPT-00147,2022-05-09,SEG_067,No Issues,None,Routine Maintenance,,INS-990,ROW Patrol
RPT-00148,2022-05-09,SEG_028,Mechanical Damage,Major,Repair ASAP,2022-06-03,INS-964,UT
RPT-00149,2022-05-09,SEG_064,No Issues,None,Routine Maintenance,,INS-996,Visual
RPT-00150,2022-05-09,SEG_037,Mechanical Damage,Major,Repair ASAP,2022-05-31,INS-474,Visual
RPT-00151,2022-05-09,SEG_082,Mechanical Damage,Critical,Repair ASAP,2022-05-12,INS-997,Visual
RPT-00152,2022-05-09,SEG_036,No Issues,None,Routine Maintenance,,INS-739,Visual
RPT-00153,2022-05-09,SEG_058,No Issues,None,Routine Maintenance,,INS-654,ROW Patrol
RPT-00154,2022-05-13,SEG_057,Vegetation Encroachment,Minor,Clear Area,,INS-480,Visual
RPT-00155,2022-05-16,SEG_053,No Issues,None,Routine Maintenance,,INS-842,ROW Patrol
RPT-00156,2022-05-16,SEG_008,No Issues,None,Routine Maintenance,,INS-438,ROW Patrol
RPT-00157,2022-05-16,SEG_063,Corrosion,Minor,Immediate Shutdown,,INS-154,UT
RPT-00158,2022-05-16,SEG_013,Corrosion,Moderate,Immediate Shutdown,,INS-815,Hydrotest
RPT-00159,2022-05-16,SEG_051,Coating Damage,Moderate,Repair ASAP,2022-06-06,INS-697,UT
RPT-00160,2022-05-16,SEG_020,No Issues,None,Routine Maintenance,,INS-557,ROW Patrol
RPT-00161,2022-05-16,SEG_067,No Issues,None,Routine Maintenance,,INS-491,Visual
RPT-00162,2022-05-16,SEG_061,Mechanical Damage,Critical,Repair ASAP,2022-05-19,INS-625,Hydrotest
RPT-00163,2022-05-23,SEG_016,Coating Damage,Minor,Monitor,,INS-498,Hydrotest
RPT-00164,2022-05-23,SEG_068,Vegetation Encroachment,Minor,Monitor,,INS-782,ILI
RPT-00165,2022-05-23,SEG_035,No Issues,None,Routine Maintenance,,INS-969,ILI
RPT-00166,2022-05-23,SEG_071,Corrosion,Major,Monitor,2022-05-31,INS-665,UT
RPT-00167,2022-05-23,SEG_050,No Issues,None,Routine Maintenance,,INS-832,ROW Patrol
RPT-00168,2022-05-23,SEG_067,No Issues,None,Routine Maintenance,,INS-904,Visual
RPT-00169,2022-05-23,SEG_056,Corrosion,Minor,Monitor,,INS-777,Visual
RPT-00170,2022-05-23,SEG_059,Vegetation Encroachment,Minor,Monitor,,INS-385,ILI
RPT-00171,2022-05-30,SEG_062,No Issues,None,Routine Maintenance,,INS-640,ROW Patrol
RPT-00172,2022-05-30,SEG_075,Corrosion,Moderate,Monitor,,INS-905,ILI
RPT-00173,2022-05-30,SEG_046,Vegetation Encroachment,Minor,Clear Area,,INS-454,UT
RPT-00174,2022-05-30,SEG_007,Coating Damage,Moderate,Repair ASAP,2022-06-25,INS-908,Hydrotest
RPT-00175,2022-05-30,SEG_003,No Issues,None,Routine Maintenance,,INS-735,ROW Patrol
RPT-00176,2022-05-30,SEG_064,No Issues,None,Routine Maintenance,,INS-302,Visual
RPT-00177,2022-05-30,SEG_014,Mechanical Damage,Critical,Immediate Shutdown,2022-06-10,INS-138,Hydrotest
RPT-00178,2022-05-30,SEG_060,No Issues,None,Routine Maintenance,,INS-285,ROW Patrol
RPT-00179,2022-06-06,SEG_006,No Issues,None,Routine Maintenance,,INS-268,ROW Patrol
RPT-00180,2022-06-06,SEG_035,No Issues,None,Routine Maintenance,,INS-189,ROW Patrol
RPT-00181,2022-06-06,SEG_016,Corrosion,Moderate,Monitor,,INS-511,Hydrotest
RPT-00182,2022-06-06,SEG_062,Third-Party Interference,Major,Repair ASAP,2022-07-02,INS-607,UT
RPT-00183,2022-06-06,SEG_071,Vegetation Encroachment,Minor,Clear Area,,INS-249,ROW Patrol
RPT-00184,2022-06-06,SEG_043,Corrosion,Moderate,Immediate Shutdown,,INS-953,ILI
RPT-00185,2022-06-06,SEG_053,Corrosion,Minor,Repair ASAP,2022-06-27,INS-265,Hydrotest
RPT-00186,2022-06-06,SEG_079,Third-Party Interference,Moderate,Repair ASAP,2022-06-12,INS-978,Visual
RPT-00187,2022-06-13,SEG_043,No Issues,None,Routine Maintenance,,INS-602,ROW Patrol
RPT-00188,2022-06-13,SEG_019,No Issues,None,Routine Maintenance,,INS-878,ROW Patrol
RPT-00189,2022-06-13,SEG_083,Third-Party Interference,Major,Repair ASAP,2022-06-29,INS-624,UT
RPT-00190,2022-06-13,SEG_005,Third-Party Interference,Moderate,Repair ASAP,2022-06-24,INS-942,UT
RPT-00191,2022-06-13,SEG_073,Vegetation Encroachment,Minor,Clear Area,,INS-103,Hydrotest
RPT-00192,2022-06-13,SEG_082,No Issues,None,Routine Maintenance,,INS-659,ILI
RPT-00193,2022-06-13,SEG_052,Corrosion,Moderate,Repair ASAP,2022-07-07,INS-864,Hydrotest
RPT-00194,2022-06-13,SEG_002,No Issues,None,Routine Maintenance,,INS-306,ROW Patrol
RPT-00195,2022-06-20,SEG_055,No Issues,None,Routine Maintenance,,INS-756,Visual
RPT-00196,2022-06-20,SEG_005,No Issues,None,Routine Maintenance,,INS-565,ROW Patrol
RPT-00197,2022-06-20,SEG_022,No Issues,None,Routine Maintenance,,INS-968,Visual
RPT-00198,2022-06-20,SEG_053,No Issues,None,Routine Maintenance,,INS-756,Visual
RPT-00199,2022-06-20,SEG_025,Mechanical Damage,Moderate,Repair ASAP,2022-07-16,INS-910,ILI
RPT-00200,2022-06-20,SEG_057,Third-Party Interference,Major,Investigate,2022-07-20,INS-921,Hydrotest
RPT-00201,2022-06-20,SEG_002,Coating Damage,Minor,Repair ASAP,2022-07-16,INS-366,UT
RPT-00202,2022-06-20,SEG_019,Vegetation Encroachment,Minor,Monitor,,INS-474,UT
RPT-00203,2022-06-27,SEG_066,Coating Damage,Minor,Monitor,,INS-799,Hydrotest
RPT-00204,2022-06-27,SEG_077,Vegetation Encroachment,Minor,Clear Area,,INS-210,UT
RPT-00205,2022-06-27,SEG_017,Mechanical Damage,Moderate,Repair ASAP,2022-07-14,INS-653,Hydrotest
RPT-00206,2022-06-27,SEG_009,Vegetation Encroachment,Minor,Clear Area,,INS-804,Hydrotest
RPT-00207,2022-06-27,SEG_034,Vegetation Encroachment,Minor,Monitor,,INS-337,ILI
RPT-00208,2022-06-27,SEG_001,Third-Party Interference,Moderate,Repair ASAP,2022-06-30,INS-991,ILI
RPT-00209,2022-06-27,SEG_004,Mechanical Damage,Moderate,Immediate Shutdown,,INS-214,ILI
RPT-00210,2022-06-27,SEG_037,Corrosion,Critical,Monitor,2022-06-29,INS-188,ROW Patrol
RPT-00211,2022-07-21,SEG_000,No Issues,None,Routine Maintenance,,INS-488,ILI
RPT-00212,2022-07-04,SEG_001,Third-Party Interference,Major,Investigate,2022-08-03,INS-800,ILI
RPT-00213,2022-07-11,SEG_002,Corrosion,Major,Monitor,2022-07-15,INS-352,ILI
RPT-00214,2022-07-20,SEG_003,Third-Party Interference,Moderate,Repair ASAP,2022-07-28,INS-291,ILI
RPT-00215,2022-07-18,SEG_004,Mechanical Damage,Major,Immediate Shutdown,2022-08-07,INS-827,ILI
RPT-00216,2022-07-24,SEG_005,Mechanical Damage,Major,Repair ASAP,2022-08-19,INS-224,ILI
RPT-00217,2022-07-01,SEG_006,Third-Party Interference,Moderate,Investigate,,INS-464,ILI
RPT-00218,2022-07-19,SEG_007,Corrosion,Moderate,Immediate Shutdown,,INS-402,ILI
RPT-00219,2022-07-29,SEG_008,Third-Party Interference,Major,Repair ASAP,2022-08-25,INS-898,ILI
RPT-00220,2022-07-07,SEG_009,Mechanical Damage,Moderate,Repair ASAP,2022-08-04,INS-843,ILI
RPT-00221,2022-07-22,SEG_010,Mechanical Damage,Moderate,Immediate Shutdown,,INS-596,ILI
RPT-00222,2022-07-04,SEG_011,Coating Damage,Minor,Repair ASAP,2022-07-11,INS-951,ILI
RPT-00223,2022-07-24,SEG_012,Corrosion,Minor,Monitor,,INS-659,ILI
RPT-00224,2022-07-13,SEG_013,Vegetation Encroachment,Minor,Clear Area,,INS-719,ILI
RPT-00225,2022-07-17,SEG_014,Coating Damage,Minor,Monitor,,INS-508,ILI
RPT-00226,2022-07-31,SEG_015,Third-Party Interference,Moderate,Repair ASAP,2022-08-14,INS-796,ILI
RPT-00227,2022-07-26,SEG_016,Third-Party Interference,Major,Repair ASAP,2022-08-03,INS-358,ILI
RPT-00228,2022-07-09,SEG_017,Vegetation Encroachment,Minor,Monitor,,INS-397,ILI
RPT-00229,2022-07-28,SEG_018,Coating Damage,Minor,Repair ASAP,2022-08-27,INS-888,ILI
RPT-00230,2022-07-24,SEG_019,Coating Damage,Moderate,Repair ASAP,2022-08-02,INS-816,ILI
RPT-00231,2022-07-01,SEG_020,Vegetation Encroachment,Minor,Clear Area,,INS-928,ILI
RPT-00232,2022-07-19,SEG_021,Coating Damage,Minor,Monitor,,INS-995,ILI
RPT-00233,2022-07-29,SEG_022,Coating Damage,Minor,Monitor,,INS-630,ILI
RPT-00234,2022-07-06,SEG_023,Mechanical Damage,Major,Immediate Shutdown,2022-07-31,INS-389,ILI
RPT-00235,2022-07-15,SEG_024,Vegetation Encroachment,Minor,Clear Area,,INS-369,ILI
RPT-00236,2022-07-26,SEG_025,No Issues,None,Routine Maintenance,,INS-476,ILI
RPT-00237,2022-07-30,SEG_026,Mechanical Damage,Major,Immediate Shutdown,2022-08-16,INS-442,ILI
RPT-00238,2022-07-05,SEG_027,Mechanical Damage,Critical,Repair ASAP,2022-07-29,INS-517,ILI
RPT-00239,2022-07-10,SEG_028,Mechanical Damage,Major,Repair ASAP,2022-07-23,INS-842,ILI
RPT-00240,2022-07-01,SEG_029,Vegetation Encroachment,Minor,Clear Area,,INS-324,ILI
RPT-00241,2022-07-04,SEG_030,No Issues,None,Routine Maintenance,,INS-974,ILI
RPT-00242,2022-07-28,SEG_031,Mechanical Damage,Major,Immediate Shutdown,2022-08-10,INS-880,ILI
RPT-00243,2022-07-02,SEG_032,Third-Party Interference,Moderate,Investigate,,INS-957,ILI
RPT-00244,2022-07-01,SEG_033,Corrosion,Major,Immediate Shutdown,2022-07-08,INS-293,ILI
RPT-00245,2022-07-25,SEG_034,Third-Party Interference,Moderate,Repair ASAP,2022-07-30,INS-652,ILI
RPT-00246,2022-07-05,SEG_035,Corrosion,Major,Repair ASAP,2022-07-07,INS-125,ILI
RPT-00247,2022-07-23,SEG_036,Third-Party Interference,Moderate,Investigate,,INS-109,ILI
RPT-00248,2022-07-06,SEG_037,Third-Party Interference,Moderate,Repair ASAP,2022-07-07,INS-415,ILI
RPT-00249,2022-07-20,SEG_038,Corrosion,Major,Immediate Shutdown,2022-08-02,INS-367,ILI
RPT-00250,2022-07-17,SEG_039,No Issues,None,Routine Maintenance,,INS-709,ILI
RPT-00251,2022-07-15,SEG_040,Mechanical Damage,Major,Repair ASAP,2022-08-10,INS-287,ILI
RPT-00252,2022-07-08,SEG_041,Mechanical Damage,Major,Immediate Shutdown,2022-07-29,INS-548,ILI
RPT-00253,2022-07-21,SEG_042,Third-Party Interference,Major,Repair ASAP,2022-07-26,INS-101,ILI
RPT-00254,2022-07-25,SEG_043,Vegetation Encroachment,Minor,Monitor,,INS-191,ILI
RPT-00255,2022-07-02,SEG_044,Third-Party Interference,Moderate,Investigate,,INS-644,ILI
RPT-00256,2022-07-01,SEG_045,Vegetation Encroachment,Minor,Monitor,,INS-618,ILI
RPT-00257,2022-07-08,SEG_046,Coating Damage,Minor,Repair ASAP,2022-08-01,INS-157,ILI
RPT-00258,2022-07-07,SEG_047,Third-Party Interference,Moderate,Investigate,,INS-264,ILI
RPT-00259,2022-07-19,SEG_048,Coating Damage,Minor,Repair ASAP,2022-07-26,INS-260,ILI
RPT-00260,2022-07-18,SEG_049,Mechanical Damage,Critical,Immediate Shutdown,2022-07-22,INS-549,ILI
RPT-00261,2022-07-21,SEG_050,Third-Party Interference,Moderate,Investigate,,INS-385,ILI
RPT-00262,2022-07-05,SEG_051,Coating Damage,Moderate,Repair ASAP,2022-08-04,INS-894,ILI
RPT-00263,2022-07-13,SEG_052,Corrosion,Critical,Monitor,2022-07-23,INS-267,ILI
RPT-00264,2022-07-05,SEG_053,Mechanical Damage,Major,Immediate Shutdown,2022-08-02,INS-159,ILI
RPT-00265,2022-07-11,SEG_054,Vegetation Encroachment,Minor,Clear Area,,INS-712,ILI
RPT-00266,2022-07-03,SEG_055,No Issues,None,Routine Maintenance,,INS-984,ILI
RPT-00267,2022-07-25,SEG_056,Corrosion,Moderate,Immediate Shutdown,,INS-690,ILI
